GMP证号	gmp
公民身份号码	dbry,djsyry,ffxyhmd,flyzaj,gsgd,hhry,hjrk,js,jyfxry,jytjry,jyywry,kjet,ldrk,ldrkhyzmcy,lset,lszy,mbjypxjg,mbjypxjgcyrr,qxzyzgqk,rmtjy,sfsgzry,sfxzflfwzxjgry,sqjzry,sybx,syfn,syfw,wxpcyry,xdry,xs,xyjzry,yiliaobaoxian,ylbx,zdqsn,zdsfry,zggmcrj,zxksxj,zyryxxjs
其他情况说明	xcsxf,ybdwxf
其他特征污染物排放	zdpwqyjbqk
具体罪名	jyfxry,sqjzry
养育类型	kjet
出生地	cs_hswry,zggmcrj
出生地点分类	cs_hswry
出生孕周	cs_hswry
出生年月	syfn
出生日期	cs_hswry,dbry,hjrk,jhsyfwz,jwry,jyywry,kjet,ldrk,lset,rmtjy,sfsgzry,sfxzflfwzxjgry,sqjzry,wxpcyry,xdry,xs,xyjzry,zdqsn,zdsfry,zggmcrj
出生证签发日期	cs_hswry
出生证编号	cs_hswry
出租人公民身份号码	ldrk
出租人姓名	ldrk
出租人联系方式	ldrk
出租房性质	czf
出租房类别	czf
出租房结构	czf
出租房编号	ldrk
出租日期	czf
出租用途	czf
出租间数	czf
出质人名称	gqcz
出资比例	gsgd
分娩时间	ldrkhyzm
分类	ybypml
分类码	ypscxk
刑满释放人员公民身份号码	sfszz
刑满释放人员出生日期	sfszz
刑满释放人员出监所日期	sfszz
刑满释放人员危险性评估	sfszz
刑满释放人员原判刑期	sfszz
刑满释放人员原罪名	sfszz
刑满释放人员原职业	sfszz
刑满释放人员姓名	sfszz
刑满释放人员婚姻状况	sfszz
刑满释放人员学历	sfszz
刑满释放人员安置情况	sfszz
刑满释放人员安置日期	sfszz
刑满释放人员宗教信仰	sfszz
刑满释放人员帮教人员	sfszz
刑满释放人员帮教情况	sfszz
刑满释放人员帮教日期	sfszz
刑满释放人员性别	sfszz
刑满释放人员户籍地	sfszz
刑满释放人员户籍门详址	sfszz
刑满释放人员政治面貌	sfszz
刑满释放人员是否已安置	sfszz
刑满释放人员是否累犯	sfszz
刑满释放人员是否脱管	sfszz
刑满释放人员是否重新犯罪	sfszz
刑满释放人员是否重点管控	sfszz
刑满释放人员曾用名	sfszz
刑满释放人员服刑场所	sfszz
刑满释放人员未安置原因	sfszz
刑满释放人员本年度是否重犯	sfszz
刑满释放人员民族	sfszz
刑满释放人员照片	sfszz
刑满释放人员犯罪行为	sfszz
刑满释放人员现住地	sfszz
刑满释放人员现住门详址	sfszz
刑满释放人员籍贯	sfszz
刑满释放人员联系方式	sfszz
刑满释放人员衔接情况	sfszz
刑满释放人员衔接日期	sfszz
刑满释放人员重新犯罪罪名	sfszz
刑满释放人员重犯日期	sfszz
刑罚变更执行情况	sqjzry
初婚日期	syfn
初次发现日期	xdry
初次登记日期	jdcdj
制剂室负责人	yljgzjxk
剂型	ybypml
办公地址	shzz
办证类型	ldrk
劳动合同签订情况	ldrk
劳资主管	dwldbz
化学需氧量	zdpwqyjbqk
医保定点医疗机构	yyddjg
医疗机构名称	yljgzjxk
医疗机构类别	yljgzjxk
医院别名	yy
医院名称	yy
医院地址	yy
医院性质	yy
医院等级	yy
医院类型	yy
医院院长姓名	yy
单位名称	dwldbz,pfwrwxkz,wxfwcsl,xcsxf,ybdwxf,zdpwqyjbqk
单位地址	dwldbz,pfwrwxkz,wxfwcsl,zdpwqyjbqk
单位检查时间	xcsxf,ybdwxf
单位类型	dwldbz
单位联系方式	ldrk
单位负责人名称	ldrk
占地面积	ylfwjg
危险从业类别	wxpcyry
原判刑期	jyfxry,sqjzry
原羁押场所	sqjzry
参保情况	ldrk
参保状态	yiliaobaoxian,ylbx
反馈方	qyhjxzcf
发动机号	jdcdj
发生地点	sjjjl
发生日期	sjjjl
发生网格	sjjjl
发证日期	gmp,gsp,hzpscxk,spjyxk,ylqxjyxk,ylqxscxk,ypjyxk,ypscxk,zyys
发证机关	gmp,gsp,hzpscxk,spjyxk,yljgzjxk,ypjyxk,ypscxk,zyys
发证部门	ylqxjyxk,ylqxscxk
取消职业资格日期	qxzyzgqk
受伤人数	gkqysg
变化情况	gqcz
变更前股权比例	gqbg
变更后股权比例	gqbg
名称	gqcz,rmtjwytwh,sfxzflfwzxjg,yljgzcdj
吸毒原因	xdry
吸毒后果	xdry
吸毒状态	xdry
员工情况	xcsxf,ybdwxf
员工数	aqsc
周边情况	xx
四史情况	sqjzry
固定电话	xq
国籍（地区）	jwry
土地凭证	syfw
土地权证发证日期	syfw
土地权证号码	syfw
在校人数	xx
地址	gmp,gsp,xcsxf,ybdwxf,ylfwjg,yyddjg
地点	yljgzcdj
地理位置(纬度)	pfwrwxkz
地理位置(经度)	pfwrwxkz
场所名称	ggfzcs,zazd
场所地址	ggfzcs,zazd
场所情况	xcsxf,ybdwxf
场所类别	ggfzcs
场所类型	zazd
处理意见	qyhjxzcf
处理结果	qyhjxzcf
处置量	wxfwcsl
备	hydj
备注	ldrkhyzm,ybylfw_zlxm,ybypml
外文名	jwry
外文姓	jwry
夫妻是否同行	ldrk
失业前单位名称	djsyry
奖励情况	jyywry
奖惩情况	sqjzry
女孩数	ldrk
女方公民身份号码	hydj,ldrkhyzm
女方出生日期	hydj,jhsyfwz
女方国籍	hydj
女方姓名	hydj,jhsyfwz,ldrkhyzm,ldrkhyzmcy
女方婚姻状况	jhsyfwz,ldrkhyzm
女方工作单位	syfn
女方户籍地	jhsyfwz,ldrkhyzm
女方民族	syfn
女方现居住地	jhsyfwz
女方结婚日期	jhsyfwz
姓名	dbry,djsyry,ffxyhmd,flyzaj,gsgd,hjrk,jyfxry,jytjry,jyywry,kjet,ldrk,lset,lszy,qxzyzgqk,rmtjy,sfsgzry,sfxzflfwzxjgry,sqjzry,sybx,syfn,wxpcyry,xdry,xs,xyjzry,yiliaobaoxian,ylbx,zdqsn,zdsfry,zggmcrj,zxksxj,zyryxxjs,zyys
姓名/名称	jdcdj
婚姻状况	dbry,hjrk,ldrk,sqjzry,syfn
婚姻登记机关名称	hydj
婚姻证明编号	ldrk
子女姓名	jhsyfwz
学历	dbry,hjrk,jyywry,ldrk,rmtjy,sfsgzry,sfxzflfwzxjgry,sqjzry,wxpcyry,xs,xyjzry,zdqsn,zdsfry
学校办学类型	xx
学校名称	js,xx
学校地址	xx
学校性质	xx
学校所属主管教育行政部门	xx
学校结对帮扶人姓名	lset
学校网址	xx
孩次	syfn
安全生产许可证	aqsc
安全生产诚信等级	aqsc
安全生产负责人姓名	aqsc,gkqysg
安全生产负责人联系方式	aqsc,gkqysg
安全类别	aqsc
安置帮教成员公民身份号码	sqjzry
安置帮教成员出生日期	sqjzry
安置帮教成员姓名	sqjzry
安置帮教成员性别	sqjzry
安置帮教成员所在组织	sqjzry
安置帮教成员职务	sqjzry
安置帮教成员联系方式	sqjzry
安置帮教组织名称	sfszz
安置帮教组织成员数	sfszz
安置帮教组织类型	sfszz
安置帮教组织负责人姓名	sfszz
安置帮教组织负责人联系方式	sfszz
宗教信仰	hjrk,ldrk,sqjzry
定点药店的名称	yyddjg
居住人数	czf
属别(特困、残疾、精神病等)	dbry
工作单位	dbry,jwry,ldrk,zxksxj
工商执照号	tzhy
工商执照注册号（统一社会信用代码）	gszcdj
工学情况	kjet
已居住时限	ldrk
帮扶人单位名称	kjet,lset
帮扶人姓名	kjet,xdry
帮扶人职业	kjet,lset
帮扶人联系方式	kjet,lset,xdry
帮扶情况	xdry
帮扶跟踪情况	kjet,lset
床位数	ylfwjg
库房地址	ylqxjyxk
废水排放量	zdpwqyjbqk
废物代码	wxfwcsl
废物名称	wxfwcsl
建成日期	syfw
建筑物名称	syfw
建筑物用途	syfw
建筑用途	czf
建筑面积	ylfwjg
建筑面积（平方米）	czf
待遇发放状	sybx
怀孕日期	ldrkhyzm
怀避孕情况	ldrk
性别	cs_hswry,dbry,djsyry,ffxyhmd,hhry,hjrk,jhsyfwz,jwry,jyywry,kjet,ldrk,lset,mbjypxjgcyrr,rmtjy,sfsgzry,sfxzflfwzxjgry,sqjzry,sybx,wxpcyry,xdry,xs,xyjzry,yiliaobaoxian,ylbx,zdqsn,zdsfry,zggmcrj
患病类型	kjet
成员数	rmtjwytwh,sfszz,sfxzflfwzxjg
成立日期	gszcdj
戒毒情况	xdry
户主公民身份号码	hjrk
户主姓名	hjrk
户主联系方式	hjrk
户口性质	dbry
户号	hjrk
户籍地	dbry,ffxyhmd,hhry,hjrk,jyfxry,jyywry,ldrk,ldrkhyzmcy,sqjzry,wxpcyry,xdry,xyjzry,zdqsn,zdsfry,zggmcrj
户籍地详址	zggmcrj
户籍状况	kjet,lset
户籍门详址	jyfxry,sqjzry
户籍门（楼）详址	dbry,hjrk,jyywry,ldrk,wxpcyry,xdry,xyjzry,zdqsn,zdsfry
房主公民身份号码	czf
房主姓名	czf
房主现居详址	czf
房主联系方式	czf
房屋凭证	syfw
房屋地址	czf,syfw
房屋户型	syfw
房屋权证发证日期	syfw
房屋权证号码	syfw
房屋来源	syfw
房屋用途	syfw
房屋结构	syfw
房屋编号	czf
所在单位名称	sybx,ylbx
所在委员会	rmtjy
所在学校名称	xs
所在服务中心	sfxzflfwzxjgry
所在机构	rmtjwytwh,sfszz,sfxzflfwzxjg
所在组织	sfsgzry
所属单位	yy
所属律所	flyzaj,qxzyzgqk
所属律所名称	lszy
所属派出所	ggfzcs
所属行业	aqsc
手机号码	xq
扣分分数	jdcwz
执业单位	zyys
执业地区	zyys
执业类型	zyys
执业范围	zyys
承租人公民身份号码	czf
承租人姓名	czf
承租人联系方式	czf
承租人证件类型	czf
报名日期	zxksxj
抵达日期	jwry
拼音名	zggmcrj
拼音姓	zggmcrj
持证情况	aqsc,xcsxf,ybdwxf
排查人	xcsxf,ybdwxf
排查人单位	czf,xcsxf,ybdwxf
排查人员	czf
排污许可证类型	pfwrwxkz
接收方式	sqjzry
接生机构名称	cs_hswry
接运地址	hhry
援助律师	flyzaj
收入情况	jyywry
收押日期	jyfxry
政治面貌	dbry,hjrk,ldrk,sqjzry,xs
救助原因	xyjzry
教师姓名	js
整改情况	aqsc,czf,xcsxf,ybdwxf
新生儿姓名	cs_hswry
日常监督管理人员	hzpscxk,spjyxk
日常监督管理机构	hzpscxk,spjyxk
日常监管人员	yljgzjxk,ypscxk
日常监管机构	yljgzjxk,ypscxk
是否低保户	xyjzry
是否具备建立中共党组织条件	shzz
是否医保	yy
是否困难家庭	jyywry
是否培训	aqsc
是否婚育证明	ldrk
是否存在隐患	ggfzcs,zazd
是否建立矫正小组	sqjzry
是否有中共党组织	shzz
是否有漏管	sqjzry
是否有脱管	sqjzry
是否有证	yy
是否服美沙酮戒毒	xdry
是否租赁场地经	dwldbz
是否签订治安责任保证书	czf
是否紧急事情	sjjjl
是否累惯犯	sqjzry
是否重新犯罪	sqjzry
是否重点关注事件	sjjjl
是否重点关注人员	ldrk
是否重点场所	sjjjl
是否重病	kjet
曾用名	hjrk,ldrk,sqjzry,xdry
月租金	czf
有效期至	gmp,gsp,hzpscxk,spjyxk,yljgzjxk,ylqxjyxk,ylqxscxk,ypjyxk,ypscxk,zyys
有无住所	jwry
有无安全通道	czf
有无消防通道	czf
有无犯罪史	xdry
服务保障情况	jyywry
服务处所	hjrk,ldrk
未节育措施原因	syfn
本户建筑面积	syfw
机动车使用性质	jdcdj
机动车品牌型号	jdcdj
机动车获取方式	jdcdj
机构名称	mbjypxjg,mbjypxjgcyrr,ylfwjg
机构地址	mbjypxjg
机构类型	ylfwjg
来华目的	jwry
查获日期	xdry
查验人姓名	ldrkhyzmcy
查验单位名称	ldrkhyzmcy
查验地点	ldrkhyzmcy
查验方式	ldrkhyzmcy
查验日期	ldrkhyzmcy
查验结果	ldrkhyzmcy
标准化等级	aqsc
校长姓名	xx
校长联系方式	xx
核准日期	gszcdj
案件类别	sqjzry
案由	flyzaj
检察监督漏管情况	sqjzry
检察监督脱管情况	sqjzry
检查时间	czf
检查结果	czf,xcsxf,ybdwxf
检验有效日期	jdcdj
死亡人数	gkqysg
死亡原因	hhry
死亡日期	hhry
死者姓名	hhry
残疾情况	kjet
母亲国籍	cs_hswry
母亲姓名	cs_hswry
母亲年龄	cs_hswry
母亲有效证件类型	cs_hswry
母亲有效证件编号	cs_hswry
母亲民族	cs_hswry
毒品来源	xdry
民族	dbry,hjrk,jyywry,kjet,ldrk,lset,sqjzry,wxpcyry,xdry,xyjzry,zdqsn,zdsfry,zggmcrj
氨氮	zdpwqyjbqk
法人代表人姓名	shzz
法人代表姓名	tzhy
法人联系方式	tzhy
法制副校长姓名	xx
法制副校长联系方式	xx
法定代表人	hzpscxk,yljgzjxk,ylqxjyxk,ylqxscxk,ypjyxk,ypscxk
法定代表人姓名	aqsc,gszcdj,pfwrwxkz,zdpwqyjbqk
法定代表人（负责人）	spjyxk
注册号	gqcz
注册地址	aqsc,yljgzjxk,ypjyxk,ypscxk
注册资本（万）	gszcdj
注册资金（万）	aqsc
注销原因	hjrk
注销标志	hjrk
流入原因	ldrk
消防设施配备情况	czf
消防设施配置情况	xcsxf,ybdwxf
涉及人数	sjjjl
涉及重点人员	sjjjl
滥用毒品种类	xdry
漏管原因	sqjzry
漏管纠正情况	sqjzry
火化日期	hhry
照片	hjrk,jwry,sqjzry,zggmcrj
父亲国籍	cs_hswry
父亲姓名	cs_hswry
父亲年龄	cs_hswry
父亲有效证件类型	cs_hswry
父亲有效证件编号	cs_hswry
父亲民族	cs_hswry
物业许可证有效期	tzhy
物管单位名称	syfw
特业许可证号	tzhy
特种行业类型	tzhy
犯罪情况	xdry
状态	dcdy,gqcz
现主要照料人出生日期	lset
现主要照料人姓名	lset
现主要照料人联系方式	lset
现住地	dbry,hjrk,jwry,jyywry,ldrk,sqjzry,wxpcyry,xyjzry,zdqsn,zdsfry
现住门详址	sqjzry
现住门（楼）详址	dbry,hjrk,jwry,jyywry,ldrk,mbjypxjgcyrr,wxpcyry,xyjzry,zdqsn,zdsfry
现居住地址	lset
现居地	ffxyhmd
现居地址	kjet,lset
现读学校	kjet,lset
班级名称	xs
生产危化品情况	aqsc
生产地址	hzpscxk,ylqxscxk
生产地址和范围	ypscxk
生产经营地址	aqsc
生产范围	ylqxscxk
生育子女性别	syfn
甲乙分类	ybylfw_zlxm
电子邮箱	yy
男孩数	ldrk
男方公民身份号码	hydj,ldrkhyzm
男方出生日期	hydj,jhsyfwz
男方国籍	hydj
男方姓名	hydj,jhsyfwz,ldrkhyzm
男方婚姻状况	jhsyfwz,ldrkhyzm
男方工作单位	syfn
男方户籍地	jhsyfwz,ldrkhyzm
男方民族	syfn
男方现居住地	jhsyfwz
男方结婚日期	jhsyfwz
登记及发证情况	ldrk
登记日期	czf,dcdy,hydj,jdcdj,ldrk
登记机关	dcdy,gszcdj
登记机构	jdcdj
登记状态	gszcdj
登记编号	dcdy
登记证字号	hydj
监护人姓名	kjet,lset,xs,zdqsn
监护人现居地址	kjet,lset
监护人联系方式	kjet,lset,xs,zdqsn
监护人身份证号码	kjet,lset
监狱名称	jyfxry
矫正小组人员组成情况	sqjzry
矫正开始日期	sqjzry
矫正类别	sqjzry
矫正结束日期	sqjzry
矫正解除类型	sqjzry
确认单位	jyywry
社会保险参保人数	dwldbz
社会信用代码	hzpscxk,yljgzjxk,ypscxk
社会信用代码（身份证号码）	spjyxk
社会组织名称	shzz
社会组织类别	shzz
社区矫正人员编号	sqjzry
离退休状态	yiliaobaoxian,ylbx
种类	gqcz
租赁备案证号	czf
签发人	hzpscxk,spjyxk,yljgzjxk,ypscxk
签发日期	yljgzjxk
签证机构	cs_hswry
简介	shzz
管控人姓名	xdry
管控人联系方式	xdry
管控情况	xdry
管理类别	czf
籍贯	hjrk,ldrk,sqjzry
纬度	czf
组织名称	sfszz
组织机构代码	aqsc,shzz
经度	czf
经济来源	ldrk
经营地址	xzcf
经营场所	spjyxk,ylqxjyxk
经营方式	gszcdj,xcsxf,ybdwxf,ylqxjyxk,ypjyxk
经营类型	aqsc
经营者名称	spjyxk
经营范围	aqsc,gszcdj,ylqxjyxk,ypjyxk
经营项目	spjyxk
结对日期	kjet,lset
综合利用量	wxfwcsl
综治负责人姓名	tzhy,yy
综治负责人联系方式	tzhy,yy
编号	ybypml,yljgzjxk,zyys
编码	ybylfw_zlxm
缴款标记	jdcwz
网格代表数	xq
网格党员数	xq
网格名称	xq
网格员姓名	xq
网格居民数	xq
网格户数	xq
网格长姓名	xq
网格面积	xq
罚款金额	jdcwz
职业	hjrk,jwry,ldrk,lset,sqjzry
职业类别	hjrk,ldrk
职务	rmtjy,sfsgzry,sfxzflfwzxjgry
职称技术等级	ldrk
联系地址	qxzyzgqk
联系方式	aqsc,dbry,dwldbz,ffxyhmd,flyzaj,gkqysg,gsgd,hjrk,jdcdj,jdcwz,js,jwry,jyywry,ldrk,lszy,mbjypxjg,mbjypxjgcyrr,pfwrwxkz,qxzyzgqk,rmtjy,sfsgzry,sfxzflfwzxjgry,sqjzry,wxfwcsl,wxpcyry,xs,xyjzry,ylfwjg,yyddjg,zdpwqyjbqk,zdqsn,zdsfry,zggmcrj,zxksxj
股东	gqbg
股权变更日期	gqbg
胎儿性别	ldrkhyzm
脱管矫正情况	sqjzry
节育措施	syfn
荣誉称号	jyywry
获得荣誉	shzz
营业执照类别（企业类型）	aqsc
营业期限（起、末）	gszcdj
行业类别	pfwrwxkz,zdpwqyjbqk
行业类型	xcsxf,ybdwxf
行为发生地址	jyywry
行为发生日期	jyywry,jyywry
行政处罚决定文书号	xzcf
行政处罚原因	ffxyhmd
行政处罚日期	ffxyhmd
行政处罚结果	xzcf
被处罚的自然人姓名或者企业或者其他法定代表人姓名	xzcf
被担保债权数额	dcdy
认缴出资方式	gsgd
认缴出资日期	gsgd
认缴出资金额（万）	gsgd
认证范围	gmp,gsp
许可编号	spjyxk
许可证编号	hzpscxk,ylqxjyxk,ylqxscxk,ypscxk
许可项目	hzpscxk
证书编号	gsp
证件代码	jwry
证件号码	jdcdj,jdcwz,jwry,ldrk,syfw
证件有效期	aqsc,jwry
证件类型	jdcdj,jdcwz,syfw
证件类型（护照、港澳通行证、台湾通行证）	zggmcrj
证号	ypjyxk
详情	dcdy
说明	gkqysg
调查情况	qyhjxzcf
负责人姓名	dwldbz,ggfzcs,gkqysg,mbjypxjg,rmtjwytwh,sfszz,sfxzflfwzxjg,shzz,wxfwcsl,xcsxf,ybdwxf,ylfwjg,yljgzcdj,zazd
负责人联系方式	ggfzcs,rmtjwytwh,sfszz,sfxzflfwzxjg,shzz,xcsxf,ybdwxf,zazd
负责人证件号码	shzz
质权人名称	gqcz
质权登记日期	gqcz
质量负责人	hzpscxk,yljgzjxk,ypjyxk,ypscxk
贮存	wxfwcsl
资格证书号	zyys
身体状况	jyywry
身高（公分）	cs_hswry
车主姓名/单位	jdcwz
车牌号	jdcwz
车牌号码	jdcdj
车辆类型	jdcdj,jdcwz
车辆识别代号/车架号	jdcdj
违法地址	jdcwz
违法日期	jdcwz
违法行为	jdcwz
违法行为类型	xzcf
通用名	ybypml
配偶姓名	ldrk,syfn
配偶身份号码	syfn
配制地址和范围	yljgzjxk
重新犯罪名称	sqjzry
限制人数	czf
限定支付范围	ybylfw_zlxm
院长联系方式	yy
隐患情况	aqsc,czf,tzhy,zazd
隐患排查单位	aqsc
隐患排查对象	aqsc
隐患排查日期	aqsc
隐患排查结果	aqsc
隐患整改情况	aqsc,ggfzcs,tzhy,zazd
隐患类型	czf
项目内涵	ybylfw_zlxm
项目名称	ybylfw_zlxm
项目类型	pfwrwxkz
预居住时限	ldrk
预计到期日期	ldrk
预计离开日期	jwry
首次执业日期	lszy
